A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,Y
5,5,0,1,1,1.4142,0,5,3.5355,3,5,1.4142,3,3,0,3,3,0,7,8,0.70711,12,7,3.5355,12.75,6.9706,8.4583,13.333,9.6091,21.309,10.929,26.917,26.667,19.436,26.667,19.436,28.158,10.803,21.205,4.3494,V0
0,2,1.4142,15,9,4.2426,0,16,11.314,3,16,9.1924,9,9,0,9,9,0,15,12,2.1213,13,14,0.70711,16,15,2.7317,10.951,9.6604,23.264,11.847,27.169,25.789,20.211,25.789,20.211,29.68,9.38,22.26,6.8831,V1
1,1,0,7,7,0,4,7,2.1213,7,7,0,14,5,6.364,14,5,6.364,13,2,7.7782,8,10,1.4142,10.2,9.4,4.3833,9.9333,10.13,22.759,12.075,25.35,28.647,21.941,28.647,21.941,26.767,10.867,25.269,5.6923,V2
13,5,5.6569,8,15,4.9497,0,15,10.607,8,15,4.9497,2,2,0,2,2,0,2,3,0.70711,4,3,0.70711,9.087,3.2174,9.0769,11.538,10.89,20.438,11.015,27.597,28.442,21.093,28.442,21.093,28.051,11.615,20.108,6.9189,V3
7,7,0,1,1,0,7,9,1.4142,14,16,1.4142,12,11,0.70711,12,11,0.70711,15,6,6.364,13,13,0,13.704,11.778,8.9615,12.962,10.741,19.638,9.4688,24.375,26.191,20.085,26.191,20.085,26.484,11.594,21.024,6.619,V4
10,10,0,11,4,4.9497,3,10,4.9497,3,12,6.364,4,3,0.70711,4,3,0.70711,6,3,2.1213,12,11,0.70711,11.189,5.1351,5.3,11.675,10.286,19.543,9.2308,27.538,29.647,17,29.647,17,26.933,12.433,20.7,5.45,V5
8,4,2.8284,0,0,0,7,4,2.1213,10,5,3.5355,7,7,0,7,7,0,4,1,2.1213,3,3,0,11.813,2.5625,0,0,11.476,22.667,11.737,23.237,28.449,21.826,28.449,21.826,27.319,12.213,20.125,6.2,V6
12,8,2.8284,11,4,4.9497,0,6,4.2426,9,8,0.70711,4,4,0,4,4,0,0,0,0,0,13,9.1924,11.419,6.186,5.1818,11.318,11.022,22.366,11.102,25.939,28.457,25.171,28.457,25.171,0,0,16,11,V7
14,8,4.2426,15,13,1.4142,0,8,5.6569,0,8,5.6569,1,1,0,1,1,0,15,11,2.8284,12,12,0,11.073,5.375,5.875,7.25,15.412,19.059,15.643,19.643,17,16.25,17,16.25,27.294,7.5588,19.917,7.3646,V8
1,1,0,3,1,2.8284,0,2,1.4142,0,0,0,10,13,2.1213,10,13,2.1213,13,7,4.2426,8,13,3.5355,12.6,8.4,4.8065,11.968,1.6,16.8,5,27,26.897,20.513,26.897,20.513,27.094,12.434,22.488,6.7561,V9
5,5,0,5,5,0,0,4,2.8284,2,4,1.4142,3,3,0,3,3,0,5,10,3.5355,13,5,5.6569,11.444,5.3889,5.8533,11.813,8.2188,22.156,10.903,28.274,28.172,20.75,28.172,20.75,29.58,10.217,21.653,3.6133,V0
2,3,0.70711,4,12,5.6569,0,5,3.5355,1,5,2.8284,6,8,1.4142,6,8,1.4142,12,11,0.70711,7,7,0,4.5333,2.6667,2.7885,9.4038,9.3438,23.391,11.902,27.529,25.047,19.837,25.047,19.837,26.878,10.293,25.938,5.0625,V1
13,13,0,12,11,0.70711,3,0,2.1213,0,0,0,4,11,4.9497,4,11,4.9497,4,15,7.7782,15,14,0.70711,8.5926,7.037,5.9348,10.12,12.5,16,0,0,29.94,23.16,29.94,23.16,30.259,9.1111,22.712,7.2712,V2
15,6,6.364,14,15,0.70711,0,16,11.314,5,16,7.7782,11,10,0.70711,11,10,0.70711,15,0,10.607,9,9,0,9.4219,3.7188,5.125,5.75,12.716,22.648,12.262,25.33,25.805,19.727,25.805,19.727,26.842,12.491,19.833,6.6905,V3
8,8,0,11,5,4.2426,4,12,5.6569,10,16,4.2426,9,6,2.1213,9,6,2.1213,15,9,4.2426,13,14,0.70711,12.622,8.2439,7.3194,12.833,11.376,21.259,11.536,25.588,24.598,18.256,24.598,18.256,26.755,11.604,21.398,7.3656,V4
1,1,0,1,1,0,0,8,5.6569,12,10,1.4142,1,1,0,1,1,0,3,4,0.70711,2,2,0,12.172,5.4483,5.1923,12,10.891,21.413,11.08,23.76,28.414,20.897,28.414,20.897,29.771,10.4,21.886,2.7273,V5
8,14,4.2426,3,1,2.8284,1,15,9.8995,4,16,8.4853,9,9,0,9,9,0,15,0,10.607,9,9,0,12.302,3.7209,12.833,15.667,10.568,20.743,13.919,27.081,25.929,19.429,25.929,19.429,26.519,12.759,19.689,5.2444,V6
9,5,2.8284,9,4,3.5355,4,5,0.70711,12,9,2.1213,3,3,0,3,3,0,0,0,0,0,0,0,10.246,5.5088,5.8837,11.581,11.174,22.623,9.5978,26.75,26.66,20.213,26.66,20.213,31,16,0,0,V7
10,6,2.8284,15,9,4.2426,0,9,6.364,0,9,6.364,3,3,0,3,3,0,15,12,2.1213,14,14,0,12.941,7.3137,4.7059,7.7059,16,20.143,16,20.143,18,16.778,18,16.778,26.06,10.358,20.451,6.5,V8
8,12,2.8284,7,8,0.70711,0,16,11.314,0,16,11.314,12,11,0.70711,12,11,0.70711,15,5,7.0711,4,4,0,12.814,7.0143,11.321,12.643,14,23.647,12,26.26,28.31,20.897,28.31,20.897,26.73,11.73,16.769,10.808,V9
5,5,0,7,5,1.4142,0,6,4.2426,15,6,6.364,5,5,0,5,5,0,7,3,2.8284,3,3,0,10.648,4.2817,4.7738,11.036,9.5385,23.821,9.8025,29.148,26.689,20.122,26.689,20.122,27.823,12.194,20.241,4.5862,V0
13,13,0,14,15,0.70711,0,7,4.9497,0,7,4.9497,7,12,3.5355,7,12,3.5355,11,4,4.9497,7,7,0,7.6327,6.0204,6.4286,8.551,14.667,19.444,15.1,20.45,26.788,21.273,26.788,21.273,27.079,11.032,24.074,6.4444,V1
2,3,0.70711,8,14,4.2426,3,5,1.4142,3,5,1.4142,15,14,0.70711,15,14,0.70711,13,10,2.1213,11,11,0,2.8,2.4,4.3538,9.2308,11.718,18.949,14.15,19.95,27.519,21.944,27.519,21.944,25.559,11.118,25.029,5.1429,V2
10,11,0.70711,14,4,7.0711,1,15,9.8995,1,15,9.8995,11,9,1.4142,11,9,1.4142,15,7,5.6569,11,13,1.4142,11.053,3.9211,3.9444,11.222,12.795,22.83,13.658,23.947,25.68,19.84,25.68,19.84,29.214,10.69,21.634,3.3659,V3
12,9,2.1213,7,9,1.4142,10,3,4.9497,0,0,0,13,12,0.70711,13,12,0.70711,15,3,8.4853,10,11,0.70711,11.264,6.2222,5.7105,12.145,6.2059,17.235,0,0,27.532,21.277,27.532,21.277,27.971,10.829,20.239,7.6119,V4
2,2,0,1,1,0,9,5,2.8284,10,14,2.8284,10,10,0,10,10,0,3,1,1.4142,2,2,0,10.604,3.6667,6.0294,11.529,9.3731,18.925,10.219,24.219,28.587,21.984,28.587,21.984,28.053,11.474,21.053,3.5263,V5
12,15,2.1213,4,2,1.4142,1,15,9.8995,5,16,7.7782,10,10,0,10,10,0,15,5,7.0711,9,10,0.70711,10.077,3.1154,7.1633,14.408,11.345,20.418,13.686,27.514,25.674,19.207,25.674,19.207,27.452,12.548,20.179,6.2821,V6
11,3,5.6569,14,2,8.4853,2,5,2.1213,12,7,3.5355,4,4,0,4,4,0,0,0,0,1,10,6.364,11.8,5.25,4.8182,11.121,12.138,23.462,10.422,26.49,29.8,29.1,29.8,29.1,0,0,16.5,9.4444,V7
12,10,1.4142,15,9,4.2426,1,15,9.8995,2,16,9.8995,0,0,0,0,0,0,11,7,2.8284,13,14,0.70711,11.325,6.85,5.7111,8.7333,15.021,23.34,15.021,24.319,16,16,16,16,27.878,8.5102,20.556,6.7778,V8
5,7,1.4142,11,5,4.2426,2,3,0.70711,5,5,0,1,1,0,1,1,0,2,2,0,13,14,0.70711,13.512,9.4634,8.0278,13.278,10.105,24.526,10.86,28.86,27.552,20.138,27.552,20.138,27.707,10.537,21.246,7.9825,V9
9,9,0,11,7,2.8284,0,5,3.5355,0,5,3.5355,3,3,0,3,3,0,4,4,0,4,4,0,10.14,4.5814,5.641,9.7308,10,23.04,12.02,26.694,28.776,21.483,28.776,21.483,28.864,11.051,21.063,4.25,V0
3,3,0,7,13,4.2426,1,6,3.5355,1,6,3.5355,11,11,0,11,11,0,15,4,7.7782,11,11,0,3.9,3.1,3.3881,9.8806,11,21.775,13.475,24.35,27.339,20.559,27.339,20.559,26.773,11.32,22.023,8.3864,V1
3,3,0,9,15,4.2426,3,3,0,3,3,0,15,13,1.4142,15,13,1.4142,12,4,5.6569,8,8,0,2.7143,2.2857,4.7455,9.2182,11.818,18.485,14.286,19.429,27.816,22.469,27.816,22.469,25.797,11.254,25.552,4.8276,V2
9,9,0,10,4,4.2426,0,16,11.314,1,16,10.607,11,10,0.70711,11,10,0.70711,15,4,7.7782,12,13,0.70711,12.529,6.549,7.1026,11.769,12.351,21.919,12.547,24.781,26.468,20.277,26.468,20.277,28.49,11.118,21.23,4.7869,V3
11,11,0,12,5,4.9497,7,9,1.4142,13,13,0,13,13,0,13,13,0,15,0,10.607,4,4,0,11.347,7.0408,6.7595,11.063,12.847,20.644,11.311,22.852,26.898,20.378,26.898,20.378,24.262,14.197,17.417,13.667,V4
10,10,0,1,1,0,12,4,5.6569,13,16,2.1213,11,10,0.70711,11,10,0.70711,14,2,8.4853,9,10,0.70711,11.791,5.6119,7.3108,12.784,8.6719,17.563,9.8889,23.333,25.172,20.071,25.172,20.071,25.714,12.964,19.632,5.7368,V5
0,0,0,0,0,0,0,6,4.2426,0,6,4.2426,9,8,0.70711,9,8,0.70711,2,0,1.4142,2,7,3.5355,0,0,0,0,12.784,24.162,12.605,24.316,29.276,22.569,29.276,22.569,26.828,12.172,21.763,4.5526,V6
11,5,4.2426,13,7,4.2426,0,5,3.5355,0,5,3.5355,2,2,0,2,2,0,0,0,0,0,0,0,10.41,4.6721,3.9444,10.25,11.931,23.828,10.954,26.805,28.333,23.333,28.333,23.333,0,0,0,0,V7
12,13,0.70711,15,12,2.1213,2,14,8.4853,3,16,9.1924,0,0,0,0,0,0,9,9,0,11,12,0.70711,12.21,6.5926,7.7083,9.2083,13.617,22.404,13.479,24.313,21,16,21,16,26.875,10.844,19.535,6.5233,V8
14,5,6.364,4,12,5.6569,1,3,1.4142,3,3,0,14,11,2.1213,14,11,2.1213,9,9,0,10,12,1.4142,10.829,6.0976,2.5745,9.383,9.0417,23.417,11.348,27.87,25.641,21.538,25.641,21.538,21.794,12.765,19.956,6.1765,V9
5,5,0,4,2,1.4142,1,2,0.70711,3,3,0,2,2,0,2,2,0,3,6,2.1213,11,7,2.8284,12.718,6.8333,5.7879,11.636,8.5556,23.444,10.289,29.333,28.333,20.714,28.333,20.714,29.327,10.673,20.361,4.4444,V0
1,1,0,6,11,3.5355,3,10,4.9497,4,13,6.364,11,11,0,11,11,0,14,0,9.8995,6,6,0,4,2.25,3.2045,10.227,11.415,22.108,13.556,24.8,28.132,20.974,28.132,20.974,25.474,11.921,21.111,10.667,V1
13,13,0,12,13,0.70711,0,0,0,0,0,0,2,3,0.70711,2,3,0.70711,3,4,0.70711,11,9,1.4142,8.3714,7.2571,7,8.2889,0,0,0,0,30.255,22.319,30.255,22.319,29.25,9.875,20.467,10,V2
12,12,0,14,8,4.2426,1,15,9.8995,2,15,9.1924,12,11,0.70711,12,11,0.70711,15,1,9.8995,10,11,0.70711,9.9459,3.2162,3.3667,9.4333,13.207,23.183,13.188,24.15,25.983,20.068,25.983,20.068,27.333,12.024,20.78,4.5122,V3
12,10,1.4142,7,3,2.8284,2,14,8.4853,7,16,6.364,11,11,0,11,11,0,15,7,5.6569,11,12,0.70711,11.14,6.871,5.6806,12.042,10.109,21.196,12.462,26.231,25.463,19.939,25.463,19.939,26.275,11.951,21,9.3696,V4
13,13,0,14,6,5.6569,10,6,2.8284,10,16,4.2426,7,6,0.70711,7,6,0.70711,15,3,8.4853,10,10,0,10.386,5.3158,6.1458,11.229,6.04,18.12,7.6364,26.455,25.057,18.857,25.057,18.857,27.733,12.378,20.093,5.5349,V5
10,3,4.9497,0,0,0,0,3,2.1213,0,3,2.1213,1,1,0,1,1,0,1,2,0.70711,2,2,0,11.303,2.0303,0,0,11.667,22.594,13.304,23.739,30.171,22.086,30.171,22.086,28.563,11.344,20.7,3.575,V6
11,8,2.1213,15,3,8.4853,1,15,9.8995,3,16,9.1924,12,12,0,12,12,0,0,0,0,2,13,7.7782,11.282,4.0513,3.5517,10.759,11.783,22.717,11.257,26.243,28.217,25.565,28.217,25.565,17,16,17.125,8.4688,V7
13,14,0.70711,15,12,2.1213,2,14,8.4853,3,16,9.1924,4,4,0,4,4,0,15,7,5.6569,10,11,0.70711,9.7937,5.5714,8.0645,9.5806,13.736,21.642,13.74,23.82,22.48,17.8,22.48,17.8,28.714,10.881,20.429,5.9714,V8
3,5,1.4142,4,9,3.5355,0,2,1.4142,0,2,1.4142,10,11,0.70711,10,11,0.70711,11,0,7.7782,6,13,4.9497,14.576,9.9091,3.9333,12.333,7.7857,22.321,10.824,28.382,27,19.736,27,19.736,21.947,15.632,18.75,5.4167,V9
2,2,0,4,0,2.8284,1,3,1.4142,1,3,1.4142,1,1,0,1,1,0,2,3,0.70711,3,1,1.4142,11.667,4.2143,4.2292,11.813,8.3214,22.714,11.757,27.568,29.821,21.667,29.821,21.667,28.844,11.219,21.39,3,V0
13,14,0.70711,12,12,0,1,3,1.4142,1,3,1.4142,5,5,0,5,5,0,15,8,4.9497,12,13,0.70711,6.8421,3.8947,6.6667,10.347,14,17.059,15.375,17.75,23.204,18.167,23.204,18.167,27.212,11.394,22.297,6.6406,V1
15,15,0,10,15,3.5355,6,1,3.5355,1,1,0,15,5,7.0711,15,5,7.0711,15,5,7.0711,2,2,0,8.875,8.375,6.3036,10.554,12.438,16.438,15.667,16.667,28.574,22.082,28.574,22.082,26.183,12.38,16.667,14.667,V2
14,7,4.9497,1,1,0,0,12,8.4853,0,12,8.4853,6,6,0,6,6,0,6,0,4.2426,4,3,0.70711,9.4068,3.8983,1.3333,1.6667,13.11,24.795,13.027,25.027,29.103,21.385,29.103,21.385,26.341,13,19.286,8.2286,V3
12,12,0,5,3,1.4142,4,12,5.6569,4,12,5.6569,13,13,0,13,13,0,12,1,7.7782,4,4,0,10.43,7.093,6.2329,11.795,10.277,20.436,14.041,22.776,27.423,21.013,27.423,21.013,23.404,14.128,17.462,13.538,V4
3,3,0,4,7,2.1213,2,13,7.7782,5,15,7.0711,12,6,4.2426,12,6,4.2426,15,5,7.0711,1,2,0.70711,10.829,4.5854,3.4792,11.188,10.841,21.625,12.821,25.282,27.289,18.342,27.289,18.342,26.861,12.291,21.564,2.5641,V5
4,4,0,12,3,6.364,0,4,2.8284,0,4,2.8284,2,2,0,2,2,0,2,2,0,11,12,0.70711,14.056,12.611,7.8077,13.481,14.159,22.182,14.361,23.306,29.068,21.318,29.068,21.318,29.941,11.471,23.786,5.2143,V6
9,5,2.8284,12,0,8.4853,6,5,0.70711,12,11,0.70711,3,3,0,3,3,0,2,0,1.4142,0,0,0,9.7091,5.4,5.3404,10.872,11.316,21.596,9.3333,26.012,26.46,19.12,26.46,19.12,30,16,0,0,V7
11,10,0.70711,15,10,3.5355,1,15,9.8995,1,16,10.607,5,4,0.70711,5,4,0.70711,14,8,4.2426,13,13,0,12.434,6.8684,7.1,9.5,14.429,23.339,14.491,24.528,23.578,17.933,23.578,17.933,27.367,11.267,20.033,5.6333,V8
4,7,2.1213,2,2,0,1,3,1.4142,9,4,3.5355,1,1,0,1,1,0,2,6,2.8284,9,6,2.1213,13.75,7.1667,7.2381,13.952,8.2941,22.941,9.2979,30,28.719,21.25,28.719,21.25,29.333,11.022,19.139,8.8333,V9
5,5,0,5,1,2.8284,0,3,2.1213,3,3,0,2,2,0,2,2,0,2,4,1.4142,11,5,4.2426,11.814,6.1017,5.3433,11.627,8.0909,22.606,10.956,29.111,29.39,21.634,29.39,21.634,29.778,10.639,21.055,3.7636,V0
3,3,0,9,13,2.8284,3,3,0,3,3,0,4,5,0.70711,4,5,0.70711,15,13,1.4142,13,13,0,5.76,2.96,4.0625,9.8281,11.341,18.366,14.438,19.625,22.209,17.698,22.209,17.698,27.441,10.926,22.178,6.2466,V1
13,13,0,7,13,4.2426,0,0,0,0,0,0,2,2,0,2,2,0,3,2,0.70711,11,8,2.1213,11.364,9.5,5.4921,10,0,0,0,0,28.412,21.176,28.412,21.176,28.727,10.477,20.675,9.025,V2
15,5,7.0711,9,15,4.2426,0,15,10.607,2,15,9.1924,10,9,0.70711,10,9,0.70711,4,0,2.8284,1,2,0.70711,8.6222,2.7778,5.2609,7.1304,11.813,21.972,12.052,25.412,28.981,21.154,28.981,21.154,26.25,13.179,19.36,7,V3
13,11,1.4142,4,4,5.6569,1,11,7.0711,6,12,4.2426,8,6,1.4142,8,6,1.4142,15,4,7.7782,10,10,0,10.733,6.4556,3.0566,10.057,10.258,23.409,11.25,27.274,24.787,18.2,24.787,18.2,26.437,11.943,20.391,8.5652,V4
2,2,0,3,1,1.4142,2,9,4.9497,4,11,4.9497,8,8,0,8,8,0,10,12,1.4142,14,5,6.364,12.429,6.7714,5.4419,12.279,10.726,23.726,12.522,26.821,26.023,19.733,26.023,19.733,29.012,11.111,22.559,3.5424,V5
2,2,0,3,2,0.70711,7,4,2.1213,11,11,0,1,1,0,1,1,0,1,1,0,2,1,0.70711,9.814,2.5349,2.5588,7.7647,12.226,22.129,9.3279,25.607,29.257,21.829,29.257,21.829,27.304,11.609,20.172,4.8966,V6
7,8,0.70711,7,8,0.70711,9,5,2.8284,6,4,1.4142,14,6,5.6569,14,6,5.6569,0,0,0,0,0,0,8.8837,4.5116,4.3673,10.49,8.65,19.533,13.722,20.222,25.516,20.484,25.516,20.484,0,0,0,0,V7
14,8,4.2426,13,13,0,4,12,5.6569,4,16,8.4853,0,0,0,0,0,0,11,11,0,15,15,0,11.352,6.0659,6.2222,7.8148,13.639,21.25,13.306,23.444,16,16,16,16,27.571,6.9048,20.67,5.62,V8
1,1,0,15,6,6.364,0,16,11.314,5,16,7.7782,11,10,0.70711,11,10,0.70711,15,3,8.4853,7,7,0,15.643,12.357,3.5789,13.737,8.4815,22.667,10.896,29.042,27.789,21.079,27.789,21.079,25.855,11.873,18.352,7.6296,V9
4,4,0,5,3,1.4142,0,5,3.5355,0,5,3.5355,3,3,0,3,3,0,3,4,0.70711,3,3,0,11.105,5.1053,5.5429,12.471,9.0957,22.011,12.18,26.38,28.635,21.231,28.635,21.231,28.271,11.292,20.63,4.9444,V0
2,2,0,7,7,0,7,4,2.1213,5,4,0.70711,5,5,0,5,5,0,14,10,2.8284,11,12,0.70711,10.615,8.3077,4.5303,11.576,10.383,18.383,14.25,19.5,22.023,17.791,22.023,17.791,27.132,11.303,22.241,5.6329,V1
6,5,0.70711,12,3,6.364,1,2,0.70711,1,2,0.70711,15,10,3.5355,15,10,3.5355,7,0,4.9497,2,11,6.364,9.4783,7.913,6.6154,11,13.947,18.579,14.667,19.5,26.639,21.934,26.639,21.934,21.63,14.074,21.348,6.2609,V2
14,8,4.2426,1,1,0,0,12,8.4853,4,12,5.6569,6,6,0,6,6,0,2,0,1.4142,1,0,0.70711,7.3478,4.4348,1.5,1.5,11.048,21.242,11.567,26.317,29.059,21.559,29.059,21.559,24.462,14.077,18.143,9.8571,V3
11,11,0,3,9,4.2426,4,12,5.6569,11,16,3.5355,12,12,0,12,12,0,15,2,9.1924,7,7,0,11.286,7.019,6.2029,11.406,11.175,21.175,10.75,25.23,25.927,20.366,25.927,20.366,25.613,13.097,18.524,10.786,V4
2,2,0,2,2,0,0,11,7.7782,14,15,0.70711,7,7,0,7,7,0,4,3,0.70711,2,3,0.70711,11.429,4.2857,6.1887,12.566,9.7541,18.098,12.05,23.2,25.096,19.827,25.096,19.827,29.024,11.19,21.674,3.186,V5
1,1,0,0,0,0,0,10,7.0711,0,10,7.0711,9,8,0.70711,9,8,0.70711,2,3,0.70711,2,2,0,13.895,3.2632,0,0,12.846,23.788,12.98,24.06,29.659,22.195,29.659,22.195,27.969,11.438,21.184,3.3947,V6
8,7,0.70711,7,3,2.8284,1,5,2.8284,3,5,1.4142,5,5,0,5,5,0,0,0,0,1,5,2.8284,12.038,5.9487,6.087,12.058,9.9459,22.162,11.03,27.697,29.609,27.913,29.609,27.913,0,0,16.364,5.8182,V7
13,14,0.70711,14,12,1.4142,2,14,8.4853,4,16,8.4853,0,0,0,0,0,0,12,6,4.2426,12,13,0.70711,11.023,5.6897,8.5897,10.436,13.718,22.308,13.767,24.411,16,16,16,16,26.545,9.4364,20.704,5.493,V8
2,2,0,1,1,1.4142,0,2,1.4142,0,2,1.4142,1,1,0,1,1,0,2,4,1.4142,9,6,2.1213,15.12,6.36,1.5455,13.727,9.6667,24.933,10.971,28.914,29.586,20.966,29.586,20.966,29.175,10.45,18.842,6.9474,V9
3,3,0,5,2,2.1213,0,4,2.8284,2,4,1.4142,2,2,0,2,2,0,3,6,2.1213,3,3,0,11.736,4.6792,4.8772,11.93,8.7753,22.034,11.613,27.29,29.067,21.111,29.067,21.111,29.269,10.731,21.088,3.7193,V0
1,1,0,15,11,2.8284,0,16,11.314,1,16,10.607,10,8,1.4142,10,8,1.4142,15,7,5.6569,13,14,0.70711,15.833,14.167,3.2609,11.63,10.969,22.765,12.805,25.379,26.093,20.419,26.093,20.419,28.571,9.6327,21.989,6.7614,V1
12,13,0.70711,13,9,2.8284,3,1,1.4142,0,0,0,8,11,2.1213,8,11,2.1213,2,0,1.4142,6,6,0,8.7708,6.5833,6.8621,10.862,13.222,16.444,15,17,28.451,23.059,28.451,23.059,23.389,13.667,18.545,8.3864,V2
14,5,6.364,3,1,1.4142,1,9,5.6569,4,10,4.2426,6,6,0,6,6,0,2,1,0.70711,1,1,0,8.7586,3.3103,2.3,3.7,12,24,10.6,27.617,29.444,22.222,29.444,22.222,25.105,13.368,18.769,8.4615,V3
14,11,2.1213,11,12,0.70711,7,9,1.4142,13,16,2.1213,7,7,0,7,7,0,15,7,5.6569,11,12,0.70711,10.874,6.6316,5.0667,10.013,9.6667,19.444,8.2083,25.146,24.398,18.843,24.398,18.843,26.82,11.64,20.134,9.1194,V4
9,8,0.70711,8,3,3.5355,4,12,5.6569,3,16,9.1924,9,9,0,9,9,0,15,3,8.4853,12,13,0.70711,12.351,6.3784,6.2778,12.685,7.4355,18.984,10.308,26.654,26.222,19.605,26.222,19.605,26.485,12.576,21.286,4.2857,V5
2,3,0.70711,0,0,0,0,11,7.7782,0,11,7.7782,9,9,0,9,9,0,1,2,0.70711,2,1,0.70711,14.316,3.6316,0,0,12.095,22.508,14.31,23.5,29.093,21.791,29.093,21.791,27.955,11.636,20.964,4.0714,V6
10,9,0.70711,13,0,9.1924,3,5,1.4142,7,8,0.70711,4,4,0,4,4,0,0,0,0,0,0,0,11.394,6.1364,5.5217,11.152,11.37,22.904,10.923,26.176,28.277,24.085,28.277,24.085,0,0,0,0,V7
13,14,0.70711,10,13,2.1213,2,14,8.4853,3,16,9.1924,3,3,0,3,3,0,14,7,4.9497,9,9,0,9.9231,6.3846,6.2955,8.3636,13.528,22.111,13.746,24.048,22.143,17.429,22.143,17.429,27.017,11.707,19.481,7.963,V8
6,4,1.4142,8,15,4.9497,0,6,4.2426,0,6,4.2426,9,13,2.8284,9,13,2.8284,8,8,0,7,7,0,5.0417,2.5833,4.1639,9.4754,11.712,21.727,13.55,23.9,27.053,21.132,27.053,21.132,24.188,12.328,22.227,8.7273,V9
8,8,0,5,5,0,1,6,3.5355,1,6,3.5355,3,3,0,3,3,0,4,7,2.1213,12,8,2.8284,11.625,6.1458,5.0139,11.111,9.3023,22.093,12.932,25,29.217,21.633,29.217,21.633,28.714,10.857,20.873,4.338,V0
2,2,0,12,7,3.5355,2,8,4.2426,3,10,4.9497,4,4,0,4,4,0,3,7,2.8284,12,8,2.8284,14.559,9.0882,5.5352,12.803,9.9669,21.554,12.754,24.892,27.912,20.982,27.912,20.982,29.267,10.483,20.932,5.1136,V1
14,15,0.70711,6,14,5.6569,9,5,2.8284,5,5,0,16,7,6.364,16,7,6.364,3,2,0.70711,10,11,0.70711,10.353,8.8824,4.6923,11.031,9,18.018,13.5,18.5,29.661,22.823,29.661,22.823,27.31,11.405,20.407,9.1695,V2
0,0,0,0,0,0,0,4,2.8284,3,4,0.70711,2,2,0,2,2,0,5,5,0,2,3,0.70711,0,0,0,0,9.1463,23.024,11,29.208,27.771,20.458,27.771,20.458,29.039,10.902,23.324,3.2353,V3
11,9,1.4142,13,2,7.7782,7,9,1.4142,9,16,4.9497,9,9,0,9,9,0,15,11,2.8284,13,13,0,11.359,6.4615,5.24,11.54,10,19.5,9.5098,24.706,24.699,20.068,24.699,20.068,27.584,10,21.186,8.4714,V4
9,9,0,12,1,7.7782,1,15,9.8995,1,16,10.607,12,8,2.8284,12,8,2.8284,15,3,8.4853,12,12,0,12.222,5.8333,5.75,12.25,9.8305,20.576,11.163,25.233,25.8,20.163,25.8,20.163,27.113,12.396,21.024,3.9024,V5
3,3,0,3,3,0,8,6,1.4142,13,11,1.4142,10,9,0.70711,10,9,0.70711,3,1,1.4142,2,1,0.70711,8.9756,2.0976,2.2941,4,11.385,21.192,9.7273,23.485,28.958,21.021,28.958,21.021,27.793,12.276,20.167,5.1667,V6
11,8,2.1213,15,5,7.0711,3,13,7.0711,3,14,7.7782,14,11,2.1213,14,11,2.1213,0,0,0,0,15,10.607,11.464,6.2319,4.85,11,11.494,22.543,12.833,24.061,27.903,23.145,27.903,23.145,0,0,16,14,V7
15,9,4.2426,15,15,0,0,16,11.314,0,16,11.314,1,1,0,1,1,0,15,6,6.364,11,12,0.70711,10.909,5.3117,5.4167,6.0833,15.586,22.966,15.607,23.214,16.667,16.333,16.667,16.333,27.632,8.4211,19.807,6.9773,V8
0,0,0,9,13,2.8284,0,6,4.2426,0,6,4.2426,7,8,0.70711,7,8,0.70711,9,13,2.8284,7,8,0.70711,0,0,4.8571,10.444,11.647,21.721,13.561,24.171,26.705,20.984,26.705,20.984,27.078,9.6494,26.5,3.7333,V9
3,3,0,5,4,0.70711,1,4,2.1213,1,4,2.1213,3,3,0,3,3,0,4,3,0.70711,3,3,0,11.123,4.2982,3.75,9.9667,9.2034,23.373,11.646,26.792,28.944,21.241,28.944,21.241,29.192,11.058,21.175,3.5789,V0
14,13,0.70711,6,13,4.9497,0,11,7.7782,0,11,7.7782,10,10,0,10,10,0,15,1,9.8995,11,11,0,5.7333,3.8667,3.2963,9.8519,11.676,20.085,14.268,21.537,27.327,20.618,27.327,20.618,27.404,11.481,20.929,8.7679,V1
12,12,0,15,10,3.5355,8,8,0,8,8,0,16,12,2.8284,16,12,2.8284,12,6,4.2426,12,15,2.1213,7.5,7.25,3.0566,10.151,9.5696,20.19,13.026,21.026,27.58,22.058,27.58,22.058,25,11.896,23.702,6.4468,V2
3,3,0,2,1,2.1213,0,3,2.1213,5,3,1.4142,2,2,0,2,2,0,5,3,1.4142,3,2,0.70711,14.4,2.1333,9.2,15.6,9.06,20.26,10.532,29.596,28.667,20.683,28.667,20.683,27.981,12.173,20.048,5.1429,V3
12,9,2.1213,15,7,5.6569,5,11,4.2426,9,13,2.8284,14,14,0,14,14,0,15,1,9.8995,12,12,0,10.988,6.7349,4.4068,11.22,9.9625,20.512,11.225,23.563,27.908,21.566,27.908,21.566,26.194,11.764,20.922,8.8125,V4
